Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603",87.967820,-133.781800,180.000000,bottom
"C2","100n","C_0603",48.495520,-141.465300,180.000000,bottom
"C3","47uF","CP_Tantalum_Case-A_EIA-3216-18_Reflow",51.315620,-143.586200,0.000000,bottom
"C4","100n","C_0603",69.176900,-141.262100,0.000000,bottom
"C5","100n","C_0603",60.612020,-150.012400,270.000000,bottom
"C6","47uF","CP_Tantalum_Case-A_EIA-3216-18_Reflow",60.612020,-154.330400,270.000000,bottom
"C7","100n","C_0603",97.576640,-154.556460,270.000000,bottom
"D1","1N5819","D_SOD-123",56.686720,-152.742900,180.000000,bottom
"D2","1N5819","D_SOD-123",42.501820,-155.511500,0.000000,bottom
"D3","LED","led-sideways-2.0x0.5",67.241420,-74.828400,225.000000,bottom
"D4","LED","led-sideways-2.0x0.5",69.489320,-83.400900,180.000000,bottom
"D5","LED","led-sideways-2.0x0.5",75.001120,-88.709500,0.000000,bottom
"D6","LED","led-sideways-2.0x0.5",72.677020,-54.394100,180.000000,bottom
"D7","LED","led-sideways-2.0x0.5",75.572620,-83.972400,180.000000,bottom
"D8","LED","led-sideways-2.0x0.5",71.280020,-74.841100,135.000000,bottom
"D9","LED","led-sideways-2.0x0.5",47.073820,-96.342200,115.000000,bottom
"D10","LED","led-sideways-2.0x0.5",62.986920,-83.820000,180.000000,bottom
"D11","LED","led-sideways-2.0x0.5",63.190120,-88.709500,0.000000,bottom
"D12","LED","led-sideways-2.0x0.5",46.349920,-65.925700,60.000000,bottom
"D13","LED","led-sideways-2.0x0.5",43.619420,-78.282800,90.000000,bottom
"D14","LED","led-sideways-2.0x0.5",45.448220,-89.039700,130.000000,bottom
"D15","LED","led-sideways-2.0x0.5",49.461420,-103.886000,100.000000,bottom
"D16","LED","led-sideways-2.0x0.5",92.577920,-85.407500,250.000000,bottom
"D17","LED","led-sideways-2.0x0.5",94.686120,-76.466700,270.000000,bottom
"D18","LED","led-sideways-2.0x0.5",92.514420,-64.363600,300.000000,bottom
"D19","LED","led-sideways-2.0x0.5",91.282520,-93.764100,240.000000,bottom
"D20","LED","led-sideways-2.0x0.5",89.288620,-101.206300,260.000000,bottom
"D21","LED","led-sideways-2.0x0.5",54.871620,-101.841300,310.000000,bottom
"D22","LED","led-sideways-2.0x0.5",83.637120,-100.012500,50.000000,bottom
"D23","LED","led-sideways-2.0x0.5",79.877920,-103.111300,35.000000,bottom
"D24","LED","led-sideways-2.0x0.5",75.641200,-106.718100,40.000000,bottom
"D25","LED","led-sideways-2.0x0.5",65.659000,-107.581700,350.000000,bottom
"D26","LED","led-sideways-2.0x0.5",59.481720,-105.600500,330.000000,bottom
"D27","LED","led-sideways-2.0x0.5",59.799220,-95.999300,130.000000,bottom
"D28","LED","led-sideways-2.0x0.5",78.684120,-95.186500,230.000000,bottom
"D29","LED","led-sideways-2.0x0.5",75.953620,-97.523300,210.000000,bottom
"D30","LED","led-sideways-2.0x0.5",71.927720,-99.428300,190.000000,bottom
"D31","LED","led-sideways-2.0x0.5",67.457320,-99.263200,170.000000,bottom
"D32","LED","led-sideways-2.0x0.5",62.898020,-98.209100,150.000000,bottom
"J3","Audio","PJ320D_3.5mm_Jack",69.108520,-156.822140,90.000000,bottom
"L1","L","L_Bourns-SRN8040_8x8.15mm",49.702720,-149.529800,0.000000,bottom
"Q2","Q_NMOS_GSD","SOT-23",82.481420,-115.760500,0.000000,bottom
"Q3","Q_NMOS_GSD","SOT-23",50.223420,-114.858800,90.000000,bottom
"Q4","Q_NMOS_GSD","SOT-23",85.211920,-104.990900,90.000000,bottom
"Q5","Q_NMOS_GSD","SOT-23",56.763920,-110.744000,0.000000,bottom
"Q6","Q_NMOS_GSD","SOT-23",89.339420,-107.886500,90.000000,bottom
"R1","2k","R_0603",92.489020,-135.115300,0.000000,bottom
"R2","2k","R_0603",92.476320,-136.626600,0.000000,bottom
"R3","47","R_0603",95.841820,-151.132540,180.000000,bottom
"R4","33k","R_0603",100.566220,-147.866100,180.000000,bottom
"R5","2k","R_0603",46.654720,-157.111700,180.000000,bottom
"R7","10k","R_0603",51.252120,-120.078500,90.000000,bottom
"R8","4k7","R_0603",87.993220,-120.154700,90.000000,bottom
"R9","2k4","R_0603",87.955120,-139.509500,270.000000,bottom
"R10","1k2","R_0603",52.001420,-139.890500,180.000000,bottom
